Role,Sampling,Method,Budget,n_realizations,Primary_mean,Primary_SD,Primary_q025,Primary_median,Primary_q975,FN_RMSE_mean,FN_R2_mean,UN_RMSE_mean,UN_R2_mean
local_only_boundary,P2-PAM,TargetOnlyRF,3,504,0.8640670605352098,0.0834733141481687,0.7261652524791679,0.8642399133792967,1.04780902618189,2.3961350772118197,0.4328483004748363,4.24242328854465,-0.006023295399701486
local_only_boundary,P2-PAM,TargetOnlyRF,6,504,0.7198449412767048,0.05642999147152243,0.6141935919249248,0.7178962034510024,0.8425191246664785,2.1785135579469213,0.5371784527818679,3.2899070314588754,0.4140135015965255
local_only_boundary,P2-PAM,TargetOnlyRF,9,504,0.6629815993268472,0.0509705155965045,0.5653575599510304,0.6609432808791762,0.7675191507523433,1.9183987643321325,0.6481611272004789,3.148028107818961,0.4691005280316724
local_only_boundary,P2-PAM,TargetOnlyRF,12,504,0.6613579823747934,0.0474554433262312,0.5711608093658552,0.6595271319411382,0.7757782197625808,1.964715633694843,0.6363088552287205,3.071930076970984,0.49913999592619573
local_only_boundary,P2-PAM,TargetOnlyRidge,3,504,0.7605668671126312,0.07613019806798242,0.635058632949705,0.7563459122638947,0.9153038562941574,2.070381676360884,0.5751653115143416,3.7861856231177042,0.1980704729396865
local_only_boundary,P2-PAM,TargetOnlyRidge,6,504,0.6322470122355172,0.05340927942549644,0.5372795459691863,0.6304487732885993,0.7528146170711963,1.5255305743575622,0.77282366983906,3.409534379452539,0.3679678036454317
local_only_boundary,P2-PAM,TargetOnlyRidge,9,504,0.636759685662268,0.07177418080513837,0.48456067354177673,0.6421349781947241,0.7690737148397364,1.5811955073354333,0.76118990331135,3.373844474097843,0.37901834829513875
local_only_boundary,P2-PAM,TargetOnlyRidge,12,504,0.5762666379701308,0.06117666997393488,0.4663384706775823,0.5720402898451096,0.718014508360077,1.5568302743753393,0.7710308484236271,2.8846143784973184,0.5521196977683405
local_only_boundary,Random,TargetOnlyElasticNet,3,504,1.593176133324354,2.6064527849829076,0.6231608850731474,1.0683237149755382,5.544719306397321,4.378173734024157,-2.7413951557942697,7.875641459576514,-24.748651080229546
local_only_boundary,Random,TargetOnlyElasticNet,6,504,0.9776803891019888,0.35280396561878374,0.5725422835121464,0.8903469794772366,1.9360360196183404,2.5946787889252407,0.22885303518539069,4.956442524148567,-0.6540707799445904
local_only_boundary,Random,TargetOnlyElasticNet,9,504,0.8204625523909855,0.24224275871996612,0.5240049440964284,0.7671056487033528,1.5052819157480488,2.204091824454985,0.4644457512140529,4.123678617555486,-0.07945979010449122
local_only_boundary,Random,TargetOnlyElasticNet,12,504,0.702140600433398,0.18728433668673622,0.4807129237749571,0.6627621320025563,1.168958706831159,1.9571234888407925,0.5844653907922077,3.433952691816446,0.2861783119919076
local_only_boundary,Random,TargetOnlyRF,3,504,1.054795173001564,0.19338736541368712,0.7226972684127116,1.0405385398486735,1.3867101458962106,3.329731849296706,-0.1470782913171082,4.6363537857865404,-0.23356221359027385
local_only_boundary,Random,TargetOnlyRF,6,504,0.8755730004022477,0.1495680901123731,0.6135755184132148,0.8823136692962475,1.1558725944808077,2.728838341562846,0.24369671294677916,3.895679950603678,0.14713951517775664
local_only_boundary,Random,TargetOnlyRF,9,504,0.7843828605279489,0.1462478222751962,0.5399444731193137,0.7727931587474786,1.0716908285194005,2.4105666039975624,0.4058458618575494,3.5356154922130485,0.30063346194898033
local_only_boundary,Random,TargetOnlyRF,12,504,0.7215756776341519,0.14024501540699705,0.511394856612033,0.6935059766188378,1.0265482981218184,2.1782619523497955,0.5115799460308265,3.3051759484004806,0.38814183565962046
local_only_boundary,Random,TargetOnlyRidge,3,504,1.529732245034477,1.9690281519935615,0.6202660863418221,1.0912853499205446,5.146120361949719,4.38377415556031,-2.5514332798267496,7.320782734768594,-12.72352960320655
local_only_boundary,Random,TargetOnlyRidge,6,504,0.9068126176688661,0.32328991886708214,0.5566679886711815,0.8411888040848228,1.626490936957242,2.5333486653762587,0.24792944582116652,4.4272599866566615,-0.25084245383412346
local_only_boundary,Random,TargetOnlyRidge,9,504,0.8003542328921285,0.2333463345599913,0.5140526566667621,0.7427200667322098,1.4860920115258698,2.178355459215311,0.4780016695372277,3.984698768735324,0.01029478818420611
local_only_boundary,Random,TargetOnlyRidge,12,504,0.7037925014071902,0.19076238824280908,0.4846042042986303,0.6657727798937777,1.1676163427546968,1.9607993556027987,0.5843286468471482,3.443276456445738,0.28118620359321317
