Domain,Observation_ID,Study_or_target_group,Grain,PC1,PC2,PC1_explained_variance,PC2_explained_variance
Historical 906,V44_978ffb4598d8,Jin2010_AAJS,record,-1.107054358083726,0.8158469063292449,0.3581851925549009,0.2292279722724193
Historical 906,V44_51302ea35a01,Jin2010_AAJS,record,-1.157052179184176,0.8846704136264013,0.3581851925549009,0.2292279722724193
Historical 906,V44_349f92696def,Jin2010_AAJS,record,-1.209299653072377,0.8998627654895368,0.3581851925549009,0.2292279722724193
Historical 906,V44_4f4a7733f6db,McDonnell2010_AAN,record,0.5337533883187754,-2.884769435969797,0.3581851925549009,0.2292279722724193
Historical 906,V44_aebfff38ed21,McDonnell2010_AAN,record,0.3427761772966346,-2.986836039265648,0.3581851925549009,0.2292279722724193
Historical 906,V44_42fbb55f0867,McDonnell2010_AAN,record,0.1526900776470478,-2.960290167939225,0.3581851925549009,0.2292279722724193
Historical 906,V44_0593f20ca5c7,McDonnell2010_AAN,record,0.5015235518375717,-2.945423722897237,0.3581851925549009,0.2292279722724193
Historical 906,V44_7011b5923c4e,Acciaioli2011_AFST,record,-2.741343682704362,0.5831357694385059,0.3581851925549009,0.2292279722724193
Historical 906,V44_609ec11213ac,Acciaioli2011_AFST,record,-1.697899760811464,-0.3197813707332997,0.3581851925549009,0.2292279722724193
Historical 906,V44_503453a3c7d3,Acciaioli2011_AFST,record,-0.7967779357934661,-1.081774515139252,0.3581851925549009,0.2292279722724193
Historical 906,V44_37f02e3d6bd2,Acciaioli2011_AFST,record,-3.602474242352316,1.448907054027324,0.3581851925549009,0.2292279722724193
Historical 906,V44_94a1aff246d9,Acciaioli2011_AFST,record,-2.73259969703887,0.5731551866438219,0.3581851925549009,0.2292279722724193
Historical 906,V44_a91fbc5e5279,Acciaioli2011_AFST,record,-1.69813826840049,-0.3249642953937202,0.3581851925549009,0.2292279722724193
Historical 906,V44_9c54a253b704,Acciaioli2011_AFST,record,-0.7976172954764619,-1.091309241521105,0.3581851925549009,0.2292279722724193
Historical 906,V44_385340e7b59a,Acciaioli2011_AFST,record,-3.587997048493574,1.434725378379146,0.3581851925549009,0.2292279722724193
